"Election","Electorate","Area","Booth","Green Party","Labour Party","National Party","New Zealand First Party","Total Valid Party Votes"
2014,"Te Tai Tonga","Redcliffs","St Andrew's Anglican Church, 148 Main Road",0.0833333333,0.0833333333,0.5833333333,0.0833333333,12
2014,"Te Tai Tonga","Woolston","Bamford School, 8 Gould Crescent",0.1111111111,0.5555555556,0.1111111111,0,9
2014,"Te Tai Tonga","Ashburton","New Life Church, 58 Melcombe Street, Tinwald",0.125,0.25,0.125,0.25,8
2014,"Te Tai Tonga","Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",0.1,0.3,0.3,0,10
2014,"Te Tai Tonga","Seadown","Seadown Hall, 729 Seadown Road",0.125,0.625,0.125,0.125,8
2014,"Te Tai Tonga","Temuka","Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",0.0666666667,0.4,0,0.3333333333,15
2014,"Te Tai Tonga","Timaru","Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",0.0714285714,0.1428571429,0.3571428571,0.2857142857,14
2014,"Te Tai Tonga","Timaru","Grantlea Downs School, 65 Grants Road",0.05,0.5,0.05,0.2,20
2014,"Te Tai Tonga","Timaru","Timaru Girls High School, corner Hassall & Cain Streets",0.0625,0.5625,0.0625,0.25,16
2014,"Te Tai Tonga","Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",0.0333333333,0.3666666667,0.1666666667,0.1,30
2014,"Te Tai Tonga","Kilbirnie","Evans Bay Intermediate School Hall, 14 Kemp Street",0.0555555556,0.7222222222,0.0555555556,0,18
2014,"Te Tai Tonga","Kilbirnie","St Patrick's College School Hall, corner Evans Bay Parade & Cobham Drive",0.0625,0.3125,0.125,0.0625,16
2014,"Te Tai Tonga","Miramar","Miramar Christian School, Kowhai Class, 41 Camperdown Road",0.1111111111,0.6666666667,0,0.1111111111,9
2014,"Te Tai Tonga","Seatoun","Seatoun School Hall, 59 Burnham Street",0.125,0.25,0.625,0,8
2014,"Te Tai Tonga","Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",0.1111111111,0.2222222222,0.3333333333,0,9
2014,"Te Tai Tonga","Darfield","Darfield High School, 7 McLaughlins Road",0.1666666667,0.3333333333,0.3333333333,0.1666666667,6
2014,"Te Tai Tonga","Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",0.1428571429,0.2857142857,0.1428571429,0.2857142857,7
2014,"Te Tai Tonga","Ladbrooks","Ladbrooks Hall, Barnes Road",0.125,0.25,0.25,0.375,8
2014,"Te Tai Tonga","Lincoln","Lincoln High School, 134 North Belt",0.0588235294,0.1176470588,0.2941176471,0.1176470588,17
2014,"Te Tai Tonga","Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",0.0357142857,0.3214285714,0.1785714286,0.1785714286,28
2014,"Te Tai Tonga","Sheffield","Sheffield School Library, Wrights Road",0.1666666667,0.1666666667,0.1666666667,0.1666666667,6
2014,"Te Tai Tonga","Templeton","Templeton Primary School, 40 Kirk Road",0.03125,0.46875,0.28125,0.1875,32
2014,"Te Tai Tonga","Belfast","Belfast Salvation Army, 794 Main North Road",0.0625,0.5,0.125,0.1875,16
2014,"Te Tai Tonga","Kaiapoi","Kaiapoi High School Auditorium,  101 Ohoka Road",0.0294117647,0.2941176471,0.2647058824,0.2647058824,34
2014,"Te Tai Tonga","Ohoka","Ohoka School, 261 Jacksons Road",0.125,0.125,0.625,0,8
2014,"Te Tai Tonga","Rangiora","Ashgrove School, 48 Seddon Street",0.1428571429,0.2857142857,0.4285714286,0,7
2014,"Te Tai Tonga","Rangiora","Rangiora High School, 125 East Belt (entry off Wales Street)",0.1428571429,0.2857142857,0,0.2857142857,7
2014,"Te Tai Tonga","Clyde","Primary School Hall, 25 Blyth Street",0.1666666667,0.3333333333,0.1666666667,0.1666666667,6
2014,"Te Tai Tonga","Fairlie","Fairlie Primary School, 21 School Road",0.1111111111,0,0.2222222222,0.3333333333,9
2014,"Te Tai Tonga","Glenavy","Glenavy School, 15 Ruane Street",0.1111111111,0.3333333333,0.3333333333,0,9
2014,"Te Tai Tonga","Kakanui","Kakanui Primary School, 5 Fyfe Place",0.1666666667,0,0,0.6666666667,6
2014,"Te Tai Tonga","Kurow","Memorial Hall, 49 Gordon Street",0.1666666667,0.3333333333,0,0,6
2014,"Te Tai Tonga","Oamaru","Fenwick School Hall, 25a Arun Street, (Hull Street entrance)",0.037037037,0.2962962963,0.3333333333,0.1111111111,27
2014,"Te Tai Tonga","Oamaru","Pembroke School, Harlech Street",0.0555555556,0.5,0.2777777778,0.0555555556,18
2014,"Te Tai Tonga","Oamaru","Waitaki Girls' High School, 270 Thames Street",0.0909090909,0.1818181818,0,0.2727272727,11
2014,"Te Tai Tonga","Omarama","Omarama School, Omarama Avenue",0.1666666667,0.1666666667,0.5,0,6
2014,"Te Tai Tonga","Ranfurly","Maniototo Community Library, 15 Caulfeild Street",0.0909090909,0.3636363636,0.1818181818,0.0909090909,11
2014,"Te Tai Tonga","Twizel","Twizel Area School, Mt Cook Street",0.0714285714,0.5714285714,0.2857142857,0.0714285714,14
2014,"Te Tai Tonga","Waiareka","Oamaru Farmers' Saleyards Building, 31-39 Weston Road",0.0666666667,0.1333333333,0.2666666667,0.4,15
2014,"Te Tai Tonga","Waimate","Silver Band Hall, 135 High Street",0.1428571429,0.4285714286,0,0.2857142857,7
2014,"Te Tai Tonga","Waimate","Waimate Main School Hall, 29 John Street",0.0454545455,0.4090909091,0.1363636364,0.1818181818,22
2014,"Te Tai Tonga","Karori","Sunshine Kindergarten, 21a Sunshine Avenue",0.0833333333,0.4166666667,0.3333333333,0,12
2014,"Te Tai Tonga","Thorndon","St Mary's College, de Porres House, 15 Guildford Terrace",0.1,0.5,0.2,0,10
2014,"Te Tai Tonga","Cobden ","Bowling Club Rooms, 84a Ward Street",0.1666666667,0.1666666667,0.3333333333,0,6
2014,"Te Tai Tonga","Cobden ","Cobden School, 53 Fox Street",0.0526315789,0.3157894737,0.2105263158,0.2631578947,19
2014,"Te Tai Tonga","Greymouth","Blaketown School, 90 Blake Street",0.1,0.5,0.1,0.1,10
2014,"Te Tai Tonga","Greymouth","Greymouth Main School, Joyce Crescent",0.1666666667,0.5,0.3333333333,0,6
2014,"Te Tai Tonga","Greymouth","Karoro Learning Centre, 180 Tainui Street",0.0555555556,0.2222222222,0.2777777778,0.3888888889,18
2014,"Te Tai Tonga","Greymouth","Karoro School, Art & Technology Centre, Main South Road",0.1428571429,0.2857142857,0.5714285714,0,7
2014,"Te Tai Tonga","Motupipi  ","Motupipi School, 435 Abel Tasman Drive",0.1428571429,0.4285714286,0.2857142857,0,7
2014,"Te Tai Tonga","Ngakawau ","Ngakawau Domain Hall, Main Road",0.0714285714,0.7142857143,0.0714285714,0,14
2014,"Te Tai Tonga","Runanga","Runanga School Hall, Duncan Street",0.0833333333,0.5833333333,0.1666666667,0.1666666667,12
2014,"Te Tai Tonga","Tapawera ","Tapawera Area School, 46 Main Road",0.1,0.7,0,0.1,10
2014,"Te Tai Tonga","Tasman","Tasman School, 417 Aporo Road",0.1428571429,0.1428571429,0.4285714286,0.1428571429,7
2014,"Te Tai Tonga","Upper Moutere","Upper Moutere School Hall, Main Road",0.1111111111,0.1111111111,0.2222222222,0.1111111111,9
2014,"Te Tai Tonga","Wakefield","Wakefield School, Edward Street",0.0384615385,0.3076923077,0.3461538462,0.2307692308,26
2014,"Te Tai Tonga","Westport","Westport North School, 65 Cobden Street",0.0833333333,0.5833333333,0.1666666667,0.1666666667,12
2014,"Te Tai Tonga","Hei Hei","Kidsfirst Kindergarten, 10 Wycola Avenue",0.037037037,0.6296296296,0.1111111111,0.1851851852,27
2014,"Te Tai Tonga","Hoon Hay","Hoon Hay Presbyterian Church Hall, 5 Downing Street",0.1111111111,0.5555555556,0.2222222222,0.1111111111,9
2014,"Te Tai Tonga","Hornby","St Columba's Church Hall, 452 Main South Road",0.0555555556,0.3888888889,0.2222222222,0.1666666667,18
2014,"Te Tai Tonga","Middleton","Kidsfirst Kindergarten, 14 Torrens Road",0.125,0.25,0.125,0.25,8
2014,"Epsom","Matakana","Matakana School, 952 Matakana Road",0.0384615385,0.0384615385,0.8461538462,0,26
2011,"Dunedin South","Lee Stream","Lee Stream School, 2522 Clarks Junction-Lee Stream Road (State Highway 87)",0.0151515152,0.0303030303,0.7878787879,0.0303030303,66
2014,"Clutha-Southland","Dunrobin","Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",0.0153846154,0.0461538462,0.8307692308,0.0307692308,65
2014,"Clutha-Southland","Mandeville","Mandeville Public Hall, 11 Waimea Valley Road",0.0138888889,0.0416666667,0.8611111111,0,72
2014,"Clutha-Southland","Otama","Otama School, 702 Otama Road",0.0093457944,0.0280373832,0.7196261682,0.0654205607,107
2014,"Clutha-Southland","Waikaka","Waikaka School, 22 Matheson Road",0.0044843049,0.0627802691,0.7713004484,0.0448430493,223
2011,"Waikato","Cambridge","Cambridge Middle School, corner Clare & Grey Streets",0.0384615385,0,0.7692307692,0.0384615385,26
2011,"Waikato","Rangiriri","Rangiriri School, 39 Rangiriri Road",0.014084507,0.1408450704,0.5915492958,0.1690140845,71
2011,"Waikato","Waiterimu","Waiterimu School, 166 Waiu Road",0.009009009,0.0990990991,0.6576576577,0.0720720721,111
2014,"Waiariki","Omokoroa","Omokoroa No. 1 School, 11 Emeny Road",0.0833333333,0.1666666667,0.25,0.3333333333,12
2014,"Waiariki","Papamoa","Golden Sands Primary School, 26 Golden Sands Drive",0.0333333333,0.1666666667,0.2333333333,0.1666666667,30
2014,"Waiariki","Pyes Pa","Pyes Pa School, 978 Pyes Pa Road",0.0416666667,0.2083333333,0.2083333333,0.1666666667,24
2014,"Waiariki","Whakamarama","Whakamarama Public Hall, 469 Whakamarama Road",0.125,0.375,0,0.375,8
2014,"Waiariki","Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",0.0434782609,0.2608695652,0.0434782609,0.3043478261,23
2014,"Waiariki","Galatea","Galatea School, Mangamate Road",0.0909090909,0.2727272727,0.2727272727,0.1818181818,11
2014,"Waiariki","Minginui","Minginui Health & Kokiri Centre, 63 Rimu Crescent",0.0175438596,0.298245614,0,0.0175438596,57
2014,"Waiariki","Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",0.0833333333,0.3333333333,0.0833333333,0.0833333333,12
2014,"Waiariki","Pukehina","Pukehina School, 1762 Old Coach Road",0.1,0.3,0.1,0.3,10
2014,"Waiariki","Waimana","Nukuhou North School, State Highway 2",0.0909090909,0.3636363636,0.0909090909,0,11
2014,"Waiariki","Horohoro","Horohoro School, 69 Apirana Road",0.0277777778,0.4444444444,0.0277777778,0.1111111111,36
2014,"Waiariki","Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",0.0384615385,0.2307692308,0,0.2692307692,26
2014,"Waiariki","Mamaku","Mamaku School, 54 Tarena Street",0.0212765957,0.3617021277,0.0638297872,0.1914893617,47
2014,"Waiariki","Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",0.0769230769,0.1538461538,0.2307692308,0.1538461538,13
2014,"Waiariki","Rotoiti","Te Kura Kaupapa Māori O Te Rotoiti, 1620 State Highway 30",0.0136986301,0.3150684932,0.0136986301,0.0547945205,73
2014,"Waiariki","Rotorua","Waiariki Institute of Technology Cafeteria, Mokoia Drive",0.0238095238,0.3333333333,0.0476190476,0.1904761905,42
2014,"Waiariki","Kinloch","Kinloch Community Hall, Kinloch Domain, 14 Mata Place",0.1111111111,0,0.2222222222,0.2222222222,9
2014,"Waiariki","Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",0.1666666667,0.1666666667,0.3333333333,0.1666666667,6
2014,"Waiariki","Bethlehem","Bethlehem Tertiary Institute, 24 Elder Lane",0.1428571429,0.2857142857,0.1428571429,0.2857142857,7
2014,"Waiariki","Mount Maunganui","Harbourside Netball Pavilion, Blake Park, Maunganui Road",0.05,0.4,0.1,0.15,20
2014,"Waiariki","Tauranga","St Columba Church Hall, 502 Otumoetai Road",0.04,0.2,0.08,0.24,25
2011,"Invercargill","Glenham","Glenham School, 22 Glenham School Road",0.0125,0.025,0.75,0.0375,80
2011,"Invercargill","Gorge Road","Gorge Road School, 4 Factory Road",0.0094339623,0.1226415094,0.7735849057,0.0188679245,106
2011,"Rangitata","Winchmore","Winchmore Hall, 935 State Highway 77",0.0084745763,0.0169491525,0.8983050847,0.0423728814,118
2011,"Rimutaka","Wellington City","Capital E, Civic Square",0.0526315789,0.4210526316,0.5263157895,0,19
2014,"Mt Albert","Avondale","Ascot Room, Avondale Race Course, 2-48 Ash Street",0.25,0.5,0.125,0.125,8
2014,"Mt Albert","New Lynn","New Lynn Salvation Army Hall, 32 Delta Avenue",0.1176470588,0.4117647059,0.2352941176,0.0588235294,17
2014,"Mt Albert","New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",0.1333333333,0.5333333333,0.2,0.1333333333,15
2014,"Kelston","New Lynn","Dayspring Trust Hall, 2 Seabrook Avenue",0.0416666667,0.5208333333,0.3541666667,0.0625,48
2011,"Clutha-Southland","Clifden","Hauroko Valley School, 956 Clifden Highway",0.0235294118,0.0470588235,0.8588235294,0.0235294118,85
2011,"Clutha-Southland","Heriot","Heriot School, 181 Roxburgh Street",0.0168067227,0.1260504202,0.7647058824,0.0168067227,119
2011,"Clutha-Southland","Hokonui","Hokonui Centennial Hall, 190 Hokonui School Road",0.0363636364,0.0727272727,0.7636363636,0,55
2011,"Clutha-Southland","Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",0.0168067227,0.025210084,0.8067226891,0.0420168067,119
2011,"Clutha-Southland","Waiwera South","Waiwera South School, 16 May Street",0.0217391304,0.0217391304,0.7934782609,0.0434782609,92
2011,"Clutha-Southland","Wendonside","Wendonside Hall, corner Wendonside & Freshford Plains Station Roads",0.0294117647,0.0294117647,0.8382352941,0,68
2014,"Papakura","Manurewa","Manurewa East School Hall, 10 Scotts Road",0.0384615385,0.5384615385,0.25,0.1153846154,52
2014,"Papakura","Manurewa","St Luke's Anglican Church Hall, 3 Russell Road ",0.0540540541,0.5945945946,0.2702702703,0.0810810811,37
2011,"Mt Albert","Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",0.1,0.55,0.25,0.1,20
2011,"Mt Albert","Mt Roskill","May Road School, 504 Richardson Road",0.0714285714,0.6071428571,0.25,0.0714285714,28
2011,"Mt Albert","Newton","Newton Central School, Monmouth Street",0.1428571429,0.1428571429,0.5714285714,0.0714285714,14
2011,"Selwyn","Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",0.3333333333,0.1666666667,0.5,0,6
2011,"Selwyn","Hoon Hay","Rowley Avenue School, 48 Rowley Avenue",0.0625,0.4375,0.34375,0.03125,32
2011,"Selwyn","Hornby","St Columba's Church Hall, 452 Main South Road",0.0487804878,0.3170731707,0.5609756098,0.0487804878,41
2011,"Selwyn","Little Akaloa","Little Akaloa Community Hall, Main Road",0.0476190476,0.0952380952,0.6904761905,0.119047619,42
2011,"Tāmaki","Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",0.0833333333,0.0416666667,0.8333333333,0.0416666667,24
2011,"Tāmaki","Parnell","Selwyn Library, 10 St Stephens Avenue",0.1538461538,0.1538461538,0.6923076923,0,13
2014,"Whanganui","Mokoia","Mokoia School, 969 South Road",0.0185185185,0.0925925926,0.7037037037,0.1111111111,108
2014,"Whanganui","Ngaere","Ngaere School, 4355 Mountain Road",0.0142857143,0.0928571429,0.6428571429,0.0928571429,140
2011,"Christchurch East","Mairehau","Mairehau Primary School, 43 Mahars Road",0.0625,0.34375,0.53125,0,32
2011,"Christchurch East","Phillipstown","Phillipstown Community Centre, 39A Nursery Road",0.0909090909,0.3636363636,0.5,0,22
2011,"Christchurch East","Richmond","Richmond Kindergarten, 41 North Avon Road",0.08,0.36,0.44,0.04,25
2011,"Christchurch East","Other Vote","Ordinary Votes BEFORE polling day - Taken in Waimakariri",0.0689655172,0.3793103448,0.4827586207,0.0344827586,29
2014,"Hutt South","Naenae","Naenae Community Hall, corner Treadwell & Everest Streets",0.05,0.625,0.175,0.1,40
2014,"Hamilton East","Cambridge","Cambridge Primary School, corner Wilson & Duke Streets",0.1666666667,0.0833333333,0.5833333333,0,12
2011,"East Coast","Rere","Rere School, 3294 Wharekopae Road",0.0263157895,0.0921052632,0.8157894737,0.0131578947,76
2011,"East Coast","Whakatane","Te Whare Kura o Ruatoki, 18 Mission Road, RD1",0.1818181818,0.2727272727,0.0909090909,0.0909090909,11
2011,"East Coast","Other Vote","Ordinary Votes BEFORE polling day - Taken in Rotorua",0.0526315789,0.2894736842,0.4736842105,0.1315789474,38
2014,"Waitaki","Papakaio","Papakaio Primary School, 17 Papakaio Road",0.0103626943,0.0932642487,0.7409326425,0.0725388601,193
2011,"Te Atatū","Ranui","Birdwood School, 23 Karepo Crescent",0.0666666667,0.6,0.1666666667,0.1666666667,30
2011,"Te Atatū","West Harbour","Westgate Baptist Church, 67 Hobsonville Road",0.0444444444,0.3111111111,0.5777777778,0.0444444444,45
2014,"Ōhāriu","Kenepuru","Kenepuru Hospital, Hospital Drive (off Raiha Street)",0.08,0.28,0.44,0.12,25
2011,"Northcote","Glenfield","Target Road Primary School, 80 Target Road",0.0465116279,0.2093023256,0.6046511628,0.0697674419,43
2011,"Northcote","Mairangi Bay","Rangitoto College, 564 East Coast Road",0.0769230769,0.2307692308,0.5384615385,0.0384615385,26
2011,"Northcote","Sunnynook","Wairau Intermediate School, 113 Becroft Drive",0.0606060606,0.3636363636,0.5151515152,0.0303030303,33
2014,"Invercargill","Arrowtown","Arrowtown Primary School, 9 Chalmers Place",0.1,0.25,0.6,0.05,20
2014,"Invercargill","Colac Bay","Colac Bay Fire Station, 16 Colac Bay Road",0.0238095238,0.1428571429,0.6666666667,0.0952380952,84
2014,"Invercargill","Te Anau","Te Anau School Hall, 167 Milford Road",0.0625,0.09375,0.625,0.0625,32
2011,"Rangitīkei","Kaitieke","Kaitieke School, Activities Room, Kaitieke Road",0.0322580645,0.0483870968,0.7096774194,0.0483870968,62
2011,"Rangitīkei","Palmerston North","Public Hospital Education Centre Hall, 50 Ruahine Street (Gate 12)",0.0769230769,0.4230769231,0.4615384615,0,26
2011,"Palmerston North","Linton Camp","Community Centre, Puttick Road",0.1052631579,0.3684210526,0.4210526316,0,19
2014,"Tukituki","Springhill","Springhill Community Hall, 1017 Wakarara Road",0.0350877193,0.0350877193,0.7894736842,0.0877192982,57
2011,"Tauranga","Papamoa","Tahatai Coast School, 45 Evans Road",0.0540540541,0.1351351351,0.6756756757,0.027027027,37
2014,"Manukau East","Mangere","Robertson Road School, 205 Robertson Road",0.0833333333,0.75,0.125,0.0416666667,24
2011,"Pakuranga","Botany Downs","St Columba Presbyterian Church, 480 Ti Rakau Drive",0.0298507463,0.0895522388,0.6865671642,0.0597014925,67
2011,"Pakuranga","Henderson","The Trusts Stadium (Ukulele Festival), Central Park Drive",0.2222222222,0.1111111111,0.4444444444,0.1111111111,9
2014,"Mana","Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0.2,0.4,0.3,0.1,10
2014,"Mana","Tawa","Hampton Hill School Library, 4 Rimu Street",0.0454545455,0.3636363636,0.3409090909,0.0454545455,44
2014,"Hauraki-Waikato","Ngatea","Ngatea Primary School, 52 Orchard West Road",0.0769230769,0.3461538462,0.1538461538,0.2307692308,26
2014,"Hauraki-Waikato","Opoutere","Opoutere School, State Highway 25 ",0.1428571429,0.5,0.0714285714,0.1428571429,14
2014,"Hauraki-Waikato","Te Aroha","Matamata-Piako District Council, Conference Room, 35 Kenrick Street",0.08,0.68,0.12,0,25
2014,"Hauraki-Waikato","Thames","Parawai School, 106 Lowe Avenue",0.1052631579,0.4210526316,0.2631578947,0.1578947368,19
2014,"Hauraki-Waikato","Flat Bush","Mission Heights Primary School, 103 Jeffs Road",0.1428571429,0.1428571429,0.2142857143,0.2142857143,14
2014,"Hauraki-Waikato","Pukekohe","Pukekohe Hill School, corner Ward Street & Green Lane",0.0454545455,0.4090909091,0.2045454545,0.1590909091,44
2014,"Hauraki-Waikato","Waiuku","Sandspit Road School, 60 Sandspit Road",0.0384615385,0.3846153846,0.1153846154,0.2115384615,52
2014,"Hauraki-Waikato","Waiuku","View Road School, 16 View Road  ",0.0465116279,0.4651162791,0.0697674419,0.2790697674,43
2014,"Hauraki-Waikato","Papakura","Rosehill Intermediate School Hall, 5 Jupiter Street",0.016,0.576,0.056,0.168,125
2014,"Hauraki-Waikato","Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",0.25,0.125,0.5,0,8
2014,"Hauraki-Waikato","Te Kowhai","Te Kowhai School, 605 Horotiu Road",0.0909090909,0.3636363636,0.2727272727,0.1363636364,22
2014,"Hauraki-Waikato","Te Pahu","Te Pahu School, 671 Te Pahu Road",0.1538461538,0.3846153846,0,0.2307692308,13
2014,"Hauraki-Waikato","Cambridge","Aspire Wellness Trust, Leamington Domain, 12 Scott Street",0.1538461538,0.2307692308,0.1538461538,0.3076923077,13
2014,"Hauraki-Waikato","Cambridge","Cambridge East School, corner Bowen & Williams Streets",0.0740740741,0.4444444444,0.2592592593,0.0740740741,27
2014,"Hauraki-Waikato","Cambridge","Cambridge Middle School, corner Clare & Grey Streets",0.0909090909,0.1818181818,0.2727272727,0.3181818182,22
2014,"Hauraki-Waikato","Huntly","Kimihia School, Tamihana Avenue",0.0666666667,0.6333333333,0.0666666667,0.2333333333,30
2014,"Hauraki-Waikato","Huntly","St Anthonys Catholic School, 102 Bailey Street",0.0465116279,0.4651162791,0.023255814,0.2325581395,43
2014,"Hauraki-Waikato","Maramarua","Maramarua School, 2200 State Highway 2",0.1,0.1,0.3,0.25,20
2014,"Hauraki-Waikato","Matamata","Matamata Primary School, 115a  Broadway",0.064516129,0.6129032258,0.0967741935,0.064516129,31
2014,"Hauraki-Waikato","Morrinsville","Morrinsville College, Alexandra Avenue",0.1176470588,0.3529411765,0.2352941176,0.1176470588,17
2014,"Hauraki-Waikato","Okauia","Okauia Hall, 375 Okauia Springs Road",0.1818181818,0.3636363636,0.1818181818,0.0909090909,11
2014,"Hauraki-Waikato","Pokeno","Pokeno School, 54 Pokeno Road",0.0606060606,0.4848484848,0.1515151515,0.1212121212,33
2014,"Hauraki-Waikato","Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park, Maunsell Road",0.0606060606,0.3939393939,0.0606060606,0.1818181818,33
2014,"Hauraki-Waikato","Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",0.064516129,0.3870967742,0.0967741935,0.1290322581,31
2014,"Hauraki-Waikato","Te Poi","Te Poi School, 3 Stopford Road",0.1818181818,0.0909090909,0.1818181818,0.2727272727,11
2011,"Tāmaki Makaurau","Grey Lynn","St Paul's College (Library), 183 Richmond Road",0.2,0.2,0.1,0.1,10
2011,"Tāmaki Makaurau","Herne Bay","Bayfield School, 2 Clifton Road ",0.1428571429,0.3571428571,0.4285714286,0.0714285714,14
2011,"Tāmaki Makaurau","Westmere","Hawke Sea Scouts Hall, 55 West End Road",0.2,0.2,0.2,0,10
2011,"Tāmaki Makaurau","Botany South","Sancta Maria College, 319 Te Irirangi Drive",0.0769230769,0.3461538462,0.0384615385,0.1538461538,26
2011,"Tāmaki Makaurau","Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",0.2857142857,0,0.4285714286,0.1428571429,7
2011,"Tāmaki Makaurau","Epsom","Auckland Grammar School, 85 Mountain Road",0.1111111111,0.0555555556,0.3888888889,0.1111111111,18
2011,"Tāmaki Makaurau","Epsom","Sacred Heart Parish Hall, 19 Banff Avenue",0.2857142857,0.1428571429,0,0,7
2011,"Tāmaki Makaurau","Epsom","St George's Church Hall, 19 Ranfurly Road",0.1538461538,0,0.1538461538,0.4615384615,13
2011,"Tāmaki Makaurau","Mangere","Mangere Central School, 254 Kirkbride Road",0.0298507463,0.3432835821,0.0597014925,0.2089552239,67
2011,"Tāmaki Makaurau","Otahuhu","Fairburn School, 10 Pukeora Road",0.0512820513,0.358974359,0.1025641026,0.2307692308,39
2011,"Tāmaki Makaurau","Otahuhu","Middlemore Hospital, Hospital Road",0.0869565217,0.652173913,0,0.0869565217,23
2011,"Tāmaki Makaurau","Papatoetoe","St John's Presbyterian Church Hall, 120 Great South Road",0.125,0.25,0.1875,0.0625,16
2011,"Tāmaki Makaurau","Manurewa","Greenmeadows Intermediate, Ferguson Road entrance",0.0344827586,0.4827586207,0.0517241379,0.1551724138,58
2011,"Tāmaki Makaurau","Ellerslie","Michael Park School, 55 Amy Street",0.3333333333,0.5,0,0,6
2011,"Tāmaki Makaurau","Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",0.064516129,0.3870967742,0.1612903226,0.2258064516,31
2011,"Tāmaki Makaurau","Onehunga","Onehunga Primary School, 122 Arthur Street",0.0476190476,0.4761904762,0.0952380952,0.119047619,42
2011,"Tāmaki Makaurau","Point Chevalier","Selwyn Village Theatre, 43 Target Street",0.2857142857,0.1428571429,0.1428571429,0.1428571429,7
2011,"Tāmaki Makaurau","Blockhouse Bay","Glenavon School, 340 Blockhouse Bay Road",0.0555555556,0.5,0.0555555556,0.1666666667,36
2011,"Tāmaki Makaurau","Hillsborough","St David's Church, 202 Hillsborough Road",0.064516129,0.1935483871,0.1290322581,0.1935483871,31
2011,"Tāmaki Makaurau","Lynfield","Lynfield Tennis Club, 18 The Avenue",0.1052631579,0.3684210526,0.1052631579,0.1052631579,19
2011,"Tāmaki Makaurau","Blockhouse Bay","Blockhouse Bay Intermediate School, 95 Bolton Street",0.1111111111,0.6111111111,0.0555555556,0.1666666667,18
2011,"Tāmaki Makaurau","Blockhouse Bay","Blockhouse Bay Primary School, 584 Blockhouse Bay Road",0.1176470588,0.2352941176,0.1764705882,0.1176470588,17
2011,"Tāmaki Makaurau","Blockhouse Bay","Chaucer School, Chaucer Place",0.1538461538,0.2307692308,0.3846153846,0,13
2011,"Tāmaki Makaurau","Glen Eden","Konini School, 44 Withers Road",0.0606060606,0.2424242424,0.2121212121,0.1212121212,33
2011,"Tāmaki Makaurau","Huia","Huia Hall, 1253 Huia Road",0.1428571429,0.3571428571,0,0.2142857143,14
2011,"Tāmaki Makaurau","Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",0.0512820513,0.4871794872,0.1025641026,0.2051282051,39
2011,"Tāmaki Makaurau","Pakuranga","Eastgate Christian Centre, 5 Ben Lomond Crescent",0.0869565217,0.3043478261,0.1739130435,0.3043478261,23
2011,"Tāmaki Makaurau","Pakuranga","Edgewater College, 32 Edgewater Drive",0.0434782609,0.347826087,0.2608695652,0.2391304348,46
2011,"Tāmaki Makaurau","Pakuranga","Sunnyhills Primary School, 17 The Crest",0.2,0.1,0.2,0.3,10
2011,"Tāmaki Makaurau","Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",0.0625,0.15625,0.34375,0.15625,32
2011,"Tāmaki Makaurau","Ellerslie","Ellerslie Kindergarten, 122 Celtic Crescent",0.0909090909,0.3181818182,0.1818181818,0.1363636364,22
2011,"Tāmaki Makaurau","Glen Innes","Sacred Heart College, 250 West Tamaki Road",0.1111111111,0.6666666667,0.0555555556,0,18
2011,"Tāmaki Makaurau","Glendowie","Glendowie Primary School, 217 Riddell Road",0.25,0.25,0.25,0.25,8
2011,"Tāmaki Makaurau","St Heliers","St Heliers Primary School, 126-160 St Heliers Bay Road",0.1428571429,0.2142857143,0.2857142857,0.1428571429,14
2011,"Tāmaki Makaurau","Other Vote","Ordinary Votes BEFORE polling day - Taken in Botany",0.0162601626,0.4552845528,0.0731707317,0.0731707317,123
