Electorate Number #,Electorate Name,Polling Place ID,Polling Place Suburb,Polling Place Address,NZTM2000 Easting,NZTM2000 Northing
12,Epsom,624,Epsom,"Epsom Normal School, 41 The Drive",1757767.932,5915783.706
12,Epsom,625,Epsom,"Sacred Heart Parish Hall, 19 Banff Avenue",1757769.406,5915046.762
12,Epsom,626,Epsom,"St George's Church Hall, 19 Ranfurly Road",1758494.666,5916390.119
12,Epsom,627,Greenlane,"Cornwall Park District School, corner Greenlane West & Wheturangi Roads",1759503.278,5915553.196
12,Epsom,628,Mt Eden,"Auckland Provincial Guide Centre, 132 Grange Road",1755955.824,5916903.991
12,Epsom,631,Mt Eden,"Mt Eden Normal Primary School, 73 Valley Road",1756518.843,5917370.082
12,Epsom,633,Mt Eden,"Valley Road International Church Hall, 393 Mt Eden Road",1756946.61,5916971.972
12,Epsom,634,Parnell,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",1758673.788,5918808.309
12,Epsom,635,Parnell,"Parnell District School, 48 St Stephens Avenue",1759366.905,5919716.644
12,Epsom,637,Remuera,"Remuera Intermediate School, 36 Ascot Avenue",1760363.87,5916228.878
12,Epsom,640,Remuera,"St Aidan's Parish Hall, 5 Ascot Avenue",1760600.869,5916720.324
12,Epsom,642,Remuera,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",1760220.668,5917328.523
12,Epsom,644,Remuera,"Victoria Avenue School, 250 Victoria Avenue",1760360.222,5918537.727
12,Epsom,3108,Mt Eden,"Auckland Normal Intermediate, 24 Poronui Street",1757347.754,5916386.821
12,Epsom,3147,Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",1757190.02,5918747.323
12,Epsom,3646,Remuera,"Remuera Primary School, 25-33 Dromorne Road",1759802.82,5916768.718
12,Epsom,3652,Grafton,"Auckland City Hospital, Park Road",1757755.309,5919078.437
12,Epsom,3670,Remuera,"St Mark's Church Hall, 95 Remuera Road",1758691.868,5917775.418
12,Epsom,3683,Mt Eden,"Ficino School, 27 Esplanade Road",1756851.99,5917781.719
12,Epsom,3825,Remuera,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",1761074.974,5916654.28
12,Epsom,3842,Parnell,"Selwyn Library, 10 St Stephens Avenue",1759009.677,5919346.948
13,Hamilton East,646,Chartwell,"Hukanui School, corner Hukanui Road & Pickering Crescent",1800779.193,5819682.379
13,Hamilton East,648,Chartwell,"Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",1800665.917,5819199.085
13,Hamilton East,650,Claudelands,"Peachgrove Intermediate School, 72 Peachgrove Road",1802415.944,5815582.894
13,Hamilton East,651,Claudelands,"St Aidans Parish Hall, 24 Thames Street",1801315.329,5816450.418
13,Hamilton East,652,Fairfield,"Insoll Avenue School, 95 Insoll Avenue",1802276.988,5818124.322
13,Hamilton East,653,Claudelands,"Southwell School, 200 Peachgrove Road",1802302.228,5816678.997
13,Hamilton East,654,Enderley,"Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",1802193.573,5817085.932
13,Hamilton East,656,Fairfield,"Fairfield Baptist Church, 1101 Heaphy Terrace",1800859.586,5817506.974
13,Hamilton East,657,Fairfield,"Fairfield College, 25 Bankwood Road",1800533.462,5818181.633
13,Hamilton East,658,Fairfield,"Fairfield Intermediate School, 261 Clarkin Road",1801285.957,5817982.751
13,Hamilton East,660,Fairfield,"Woodstock Primary School, Fairfield Road",1800385.663,5817381.211
13,Hamilton East,663,Hamilton East,"Air Training Corps Hall, corner Naylor & Dey Streets",1803271.476,5814076.818
13,Hamilton East,664,Hamilton East,"Knox Presbyterian Hall, 48 Albert Street",1802138.088,5814136.1
13,Hamilton East,666,Hamilton East,"Hamilton East Primary School, Dawson Street",1801684.166,5815315.702
13,Hamilton East,668,Hillcrest,"Knighton Normal School, Knighton Road",1803400.661,5814632.16
13,Hamilton East,669,Hillcrest,"Hillcrest Normal School, 218 Cambridge Road",1804360.325,5813712.384
13,Hamilton East,678,Silverdale,"Hillcrest High School, Masters Avenue",1804828.139,5814571.331
13,Hamilton East,2923,Hamilton East,"Graceways Church, 69 Grey Street",1802278.673,5813777.222
13,Hamilton East,2925,Rototuna,"Chapel Hill Community Church, 2 Cate Road",1799882.231,5821440.398
13,Hamilton East,3090,Flagstaff,"Alandale Retirement Village, 1199 River Road",1798374.807,5820843.901
13,Hamilton East,3288,Rototuna,"Rototuna Primary School, 23 Strathmore Drive",1800651.448,5821420.598
13,Hamilton East,3289,Hamilton East,"Marian Catholic School, 119 Firth Street",1802074.863,5814926.204
13,Hamilton East,3290,Fairfield,"Wesley Methodist Hall, 955 Heaphy Terrace",1801125.612,5816885.232
13,Hamilton East,3559,Rototuna North,"Te Totara Primary School, 31 Hector Drive",1799796.006,5822845.592
14,Hamilton West,681,Deanwell,"Deanwell School, 49 Deanwell Avenue",1800294.281,5811729.681
14,Hamilton West,682,Dinsdale,"Aberdeen School, 48-62 Aberdeen Drive",1797527.291,5815225.305
14,Hamilton West,684,Forest Lake,"Forest Lake School, 59 Storey Avenue",1798694.426,5817269.572
14,Hamilton West,685,Frankton,"Westside Presbyterian Church Hall, 11 King Street",1799955.491,5815474.087
14,Hamilton West,686,Frankton,"Rhode Street School, 7 Rhode Street",1798252.193,5814091.151
14,Hamilton West,687,Frankton,"Frankton School Hall, 206 Massey Street",1798078.162,5814740.036
14,Hamilton West,689,Glenview,"Glenview Primary School, Bruce Avenue",1801650.06,5812101.832
14,Hamilton West,690,Hamilton West,"Hamilton West School, 36 Hammond Street",1801026.96,5814034.375
14,Hamilton West,692,Maeroa,"Maeroa Intermediate School, 57 Churchill Avenue",1799088.871,5816391.974
14,Hamilton West,693,Melville,"Melville Intermediate, 29 Mountview Road",1800749.268,5812472.558
14,Hamilton West,695,Melville,"Melville Primary School, 101 Ohaupo Road",1801002.535,5812338.909
14,Hamilton West,696,Nawton,"Crawshaw School, Crawshaw Drive",1796600.48,5816919.264
14,Hamilton West,697,Nawton,"Nawton School, 58 Livingstone Avenue",1797417.71,5816240.369
14,Hamilton West,698,Nawton,"St Marks Hall, corner Dominion Road & Breckons Avenue",1796974.935,5816678.787
14,Hamilton West,700,Pukete,"Te Rapa Primary School, 63 Ashurst Avenue",1797018.545,5820812.777
14,Hamilton West,3991,Rotokauri,"Rotokauri School, 462 Rotokauri Road",1794493.225,5817433.13
14,Hamilton West,703,St Andrews,"All Saints Hall, corner Cecil Street & Sandwich Road",1798210.556,5819696.383
14,Hamilton West,704,St Andrews,"St Andrews Middle School, 90 Heath Street",1798571.79,5818955.774
14,Hamilton West,705,St Andrews,"Vardon School, 36 Cunningham Road",1798804.26,5818041.922
14,Hamilton West,706,Te Kowhai,"Te Kowhai School, 605 Horotiu Road",1789735.877,5820928.462
14,Hamilton West,707,Templeview,"Church College of New Zealand, Reception Foyer, 435 Tuhikaramea Road",1795997.055,5811862.208
14,Hamilton West,708,Whatawhata,"Whatawhata School, 9 Kura Street ",1789959.975,5815040.711
14,Hamilton West,709,Whitiora,"Whitiora School, 38 Willoughby Street",1799911.347,5816212.197
14,Hamilton West,2926,Pukete,"Pukete School, 100 Pukete Road",1797395.745,5820097.205
14,Hamilton West,3358,Melville,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",1801295.695,5812940.508
14,Hamilton West,3387,Hamilton West,"Waikato Hospital, Fracture Clinic reception, Pembroke Street",1800912.914,5813390.038
14,Hamilton West,3413,Nawton,"Hamilton's Fraser High School, 72 Ellicott Road",1797670.528,5815745.644
14,Hamilton West,3575,Frankton,"St Columba Parish Hall, 50 Rifle Range Road",1798236.065,5815481.451
14,Hamilton West,3581,Dinsdale,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",1797868.287,5813970.537
14,Hamilton West,3808,Hamilton City,"Hamilton City Council, Garden Place",1800987.099,5815244.614
15,Helensville,8,Glenfield,"Bayview Primary School, 60 Bayview Road",1752260.555,5929020.318
15,Helensville,9,Glenfield,"Manuka Road Primary School, 34 Manuka Road",1753228.042,5928732.338
15,Helensville,1932,Coatesville,"Coatesville School, 24 Mahoenui Valley Road",1746855.528,5935155.37
15,Helensville,1934,Kaukapakapa,"Kaukapakapa Village Hall, 977 Kaipara Coast Highway",1733675.132,5946475.663
15,Helensville,1943,Paremoremo,"Ridgeview School, 1 Cutts Crescent",1747140.942,5931077.524
15,Helensville,1955,Waitoki,"Waitoki School Hall, 1119 Kahikatea Flat Road",1738532.437,5944448.352
15,Helensville,2519,Helensville,"Helensville Primary School Hall, corner Rata & Garfield Roads",1729773.972,5939798.954
15,Helensville,2521,Hobsonville,"Hobsonville Public Hall, 397 Hobsonville Road",1746924.029,5926176.735
15,Helensville,2522,Hobsonville,"Hobsonville Primary School, 104 Hobsonville Road",1746072.715,5925405.105
15,Helensville,2523,Huapai,"Huapai District School Hall, 40 Station Road",1737159.597,5929088.355
15,Helensville,2524,Kumeu,"Kumeu Baptist Youth Hall, 21 Access Road",1738854.344,5928577.906
15,Helensville,2530,Muriwai,"Muriwai Fire Station, corner Coast & Motutara Roads",1727852.521,5923634.577
15,Helensville,2532,Parakai,"Parakai School, 10 Fordyce Road",1728059.77,5941526.971
15,Helensville,2534,Riverhead,"Riverhead School, 21 School Road",1742286.156,5931318.492
15,Helensville,2536,Taupaki,"Taupaki School, 14 Cottle Road",1737754.935,5923953.465
15,Helensville,2538,Waimauku,"Waimauku School, 2 Muriwai Road",1733096.298,5929609.959
15,Helensville,2539,Waioneke,"Waioneke School, 1981 South Head Road",1716126.33,5955101.04
15,Helensville,2541,West Harbour,"Marina View School, 97-99 Marina View Drive",1746345.725,5924398.795
15,Helensville,2542,West Harbour,"West Harbour Primary School, Simich Avenue",1744713.6,5923583.598
15,Helensville,2543,Whenuapai,"Whenuapai School, 14 Airport Road",1744437.014,5926841.572
15,Helensville,2544,Whenuapai,"Whenuapai Village Hall, 41 Waimarie Road",1746039.435,5928480.616
15,Helensville,2927,Albany,"Massey University, Gate 4, 82 Turtea Drive",1751349.943,5934195.839
15,Helensville,2928,West Harbour,"West Harbour Alliance Church, 145 Moire Road",1745324.893,5923890.793
15,Helensville,3202,Albany,"Albany Community Hall, 3/21 Library Lane",1751550.122,5934098.266
15,Helensville,3203,Greenhithe,"St Michael's Anglican Church Hall, 12 Greenhithe Road",1749056.475,5928755.766
15,Helensville,3206,Albany,"Albany School, 6 Bass Road",1750948.47,5933003.149
15,Helensville,3207,Greenhithe,"Greenhithe School Hall, Isobel Road",1749516.149,5928886.694
15,Helensville,3394,Parakai,"Haranui Marae, Haranui Road",1723779.073,5945236.064
15,Helensville,3681,Albany,"Upper Harbour Primary School, 140 Kyle Road",1750555.526,5930099.685
15,Helensville,3828,Herald Island,"Herald Island Community Hall, 57 Ferry Parade",1747864.754,5928206.392
15,Helensville,3862,West Harbour,"Westgate Baptist Church, 67 Hobsonville Road",1744712.333,5924208.507
16,Hunua,711,Ararimu,"Ararimu School, corner Steel & Ararimu Roads",1780937.749,5887581.874
16,Hunua,713,Beachlands,"Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",1778186.855,5916055.83
16,Hunua,714,Bombay,"Bombay School, 35 Paparata Road",1777091.7,5882681.33
16,Hunua,715,Brookby,"Brookby School, corner Brookby & West Roads",1777456.594,5904663.056
16,Hunua,717,Clevedon,"Clevedon School, 13-17 North Road",1781452.549,5904259.924
16,Hunua,719,Flat Bush,"Old Flat Bush School Hall, corner Murphy's & Flat Bush School Roads",1770914.187,5906856.18
16,Hunua,720,Hunua,"Hunua School, 39 Lockwood Road",1784426.248,5894262.054
16,Hunua,724,Kawakawa Bay,"Kawakawa Bay Public Hall, 9 Kawakawa-Orere Road",1793245.991,5908516.76
16,Hunua,727,Maraetai,"Maraetai Beach School, 154 Maraetai Drive",1781535.761,5916637.651
16,Hunua,728,Orere Point,"Orere School, Orere Point Road",1798146.114,5905259.197
16,Hunua,741,Paparimu,"Paparimu School, 7 Matheson Road",1788873.972,5886791.834
16,Hunua,742,Ramarama,"Ramarama School, 126 Ararimu Road",1775296.551,5887518.219
16,Hunua,747,Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",1775307.046,5909462.912
16,Hunua,1691,Aka Aka,"Aka Aka School, 809 Aka Aka-Otaua Road",1759920.511,5872181.753
16,Hunua,1692,Awhitu,"Awhitu District School, corner Matakawa & Awhitu Roads",1743566.317,5891450.51
16,Hunua,1693,Buckland,"Buckland School,  72 George Crescent",1770893.959,5878058.67
16,Hunua,1696,Glenbrook,"Glenbrook Primary School, 459 Glenbrook Road",1755409.827,5880919.302
16,Hunua,1697,Harrisville,"Harrisville School, 202 Harrisville Road",1773104.491,5876721.666
16,Hunua,1706,Mauku,"Mauku School, 389 Union Road",1761573.878,5880786.601
16,Hunua,1716,Otaua,"Otaua School, 53 Maioro Road",1754321.048,5869725.851
16,Hunua,1719,Patumahoe,"Patumahoe School, 38 Patumahoe Road",1762668.22,5882765.585
16,Hunua,1723,Pukekohe,"Pukekohe East School, 137 Runciman Road",1772651.107,5882889.077
16,Hunua,1724,Pukekohe,"Pukekohe Hill School, corner Ward Street & Green Lane",1767909.357,5879982.236
16,Hunua,1725,Pukekohe,"Pukekohe Intermediate School, Queen Street",1768750.778,5880847.799
16,Hunua,1726,Pukekohe,"Pukekohe North School, corner Princes Street & Beatty Road",1768271.153,5881723.929
16,Hunua,1728,Pukekohe,"Valley School, East Street",1769760.57,5881513.677
16,Hunua,1730,Pukeoware,"Pukeoware School, 479 Baldhill Road",1757429.362,5876738.151
16,Hunua,1731,Puni,"Puni School, 357 Waiuku Road",1764538.43,5877741.05
16,Hunua,1744,Tuakau,"Tuakau Primary School, 6 School Road",1772007.653,5873859.546
16,Hunua,1749,Waipipi,"Waipipi School, 100 Creamery Road",1748665.857,5880041.053
16,Hunua,1752,Waiuku,"Waiuku College, 43 Constable Road",1753048.091,5875885.274
16,Hunua,1753,Waiuku,"Waiuku Primary School, George Street",1753670.39,5875146.434
16,Hunua,1754,Waiuku,"Sandspit Road School, 60 Sandspit Road",1752905.986,5877054.952
16,Hunua,3671,Flat Bush,"St Pauls Anglican Church Hall, 141 Chapel Road",1769851.54,5907695.075
16,Hunua,3757,Paerata,"Paerata Community Centre, 1022 Paerata Road",1768135.812,5885141.726
16,Hunua,3758,Tuakau,"Tuakau Town Hall, George Street",1772544.522,5874495.547
16,Hunua,3789,Pukekohe,"St Josephs Primary School, 94 Seddon Street",1768760.217,5881693.831
16,Hunua,3790,Flat Bush,"Mission Heights Primary School, 103 Jeffs Road",1771915.633,5907642.16
17,Hutt South,748,Alicetown,"Hutt Central School, 6 Railway Avenue",1758596.605,5435935.262
17,Hutt South,750,Avalon,"Dyer Street School, 59 Dyer Street",1762349.572,5436997.779
17,Hutt South,751,Boulcott,"Boulcott School, 9 Boulcott Street",1761135.64,5437106.923
17,Hutt South,752,Days Bay,"Wellesley College, 611 Marine Drive",1759732.466,5428568.403
17,Hutt South,753,Eastbourne,"Muritai School, 160 Muritai Road",1758848.292,5427106.589
17,Hutt South,756,Epuni,"Epuni School Hall, 313 Waiwhetu Road",1762088.474,5436210.832
17,Hutt South,757,Gracefield,"Gracefield School, 20A Bell Road",1760545.198,5433756.098
17,Hutt South,758,Hutt Central,"Eastern Hutt School, 83 Kings Crescent",1760305.575,5436347.045
17,Hutt South,759,Hutt Central,"Hutt Hospital, 640 High Street",1761212.6,5436845.921
17,Hutt South,760,Hutt Central,"Hutt Intermediate School, 7 Kauri Street",1760417.464,5435584.055
17,Hutt South,761,Hutt Central,"Hutt Valley High School, 84 Woburn Road",1759395.499,5435466.182
17,Hutt South,762,Hutt Central,"Knox Presbyterian Church Hall, 574 High Street",1760838.614,5436817.967
17,Hutt South,763,Hutt Central,"St Bernard's College, 183 Waterloo Road",1760687.526,5436126.005
17,Hutt South,764,Hutt Central,"Sts Peter and Paul School, Myrtle Street",1759804.556,5436036.114
17,Hutt South,767,Naenae,"Community Hall, 25 Treadwell Street",1763441.555,5437201.641
17,Hutt South,768,Naenae,"Naenae Kindergarten, 19 Seddon Street",1763524.494,5436787.64
17,Hutt South,769,Naenae,"Naenae Primary School, 18 Wheatley Street",1763163.504,5436751.685
17,Hutt South,771,Petone,"Petone Central School, 16 Britannia Street",1757599.485,5434662.427
17,Hutt South,773,Petone,"Wilford School, 102 William Street",1758479.444,5434717.319
17,Hutt South,774,Point Howard,"Tennis Club/Playcentre, 29 Ngaumatau Road",1760085.896,5431522.237
17,Hutt South,775,Wainuiomata,"Arakura School, 209 Wellington Road",1762922.907,5432559.83
17,Hutt South,776,Wainuiomata,"Fernlea School, 25a Lees Grove",1762332.563,5430113.99
17,Hutt South,780,Wainuiomata,"Wainuiomata Intermediate School, 66 Konini Street",1761950.778,5431393.996
17,Hutt South,782,Wainuiomata,"Wainuiomata Primary School, 5 Homedale Road",1763802.287,5428831.831
17,Hutt South,786,Waiwhetu,"Waiwhetu Marae Meeting House, Puketapu Grove",1760945.303,5434623.02
17,Hutt South,787,Waiwhetu,"Our Lady of the Rosary School, 15 Wainui Road",1760510.297,5434434.08
17,Hutt South,790,Waterloo,"Waterloo School, 26 Hardy Street",1761319.415,5435546.945
17,Hutt South,1903,Naenae,"Rata Street School, 73 Rata Street",1764054.54,5437263.564
17,Hutt South,2932,Wainuiomata,"St Peter's Church, 29 Wise Street",1763457.704,5431386.795
17,Hutt South,2933,Waiwhetu,"St Paul's Parish Hall, 76 Waiwhetu Road",1760806.356,5434954.026
17,Hutt South,3010,Moera,"Randwick School, 59 Randwick Road",1759631.286,5434036.203
17,Hutt South,3076,Wainuiomata,"Holy Trinity Church, 40 Wainuiomata Road",1762579.616,5430538.941
17,Hutt South,3291,Wainuiomata,"Pukeatua School, 19 Frederick Street",1763367.689,5431259.811
17,Hutt South,3292,Wainuiomata,"Wainuiomata Union Church, 106 Main Road",1763596.374,5429311.844
17,Hutt South,3699,Epuni,"Congregational Christian Church Hall of Samoa, 37 Mitchell Street",1761884.532,5436564.847
17,Hutt South,3854,Petone,"St Augustines Cub Group Hall, 71 Udy Street",1758018.496,5434914.368
18,Ilam,792,Avonhead,"Avonhead Kindergarten, 49 Staveley Street",1564129.057,5181335.518
18,Ilam,793,Avonhead,"Merrin School Hall, 41 Merrin Street",1564319.948,5182398.131
18,Ilam,794,Avonhead,"Avonhead Primary School Hall, 55 Avonhead Road",1564401.971,5180887.693
18,Ilam,798,Bryndwr,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",1566455.139,5182605.114
18,Ilam,799,Bryndwr,"St Matthew's Church Main Hall, 108 Jeffreys Road",1567912.595,5182312.263
18,Ilam,800,Bryndwr,"Wairakei School Hall, 250 Wairakei Road",1566705.013,5183620.74
18,Ilam,801,Burnside,"Burnside Elim Community Church, 193 Grahams Road",1565800.359,5183439.785
18,Ilam,802,Burnside,"Burnside High School, J Block (Memorial Avenue entrance)",1565864.357,5182759.04
18,Ilam,803,Burnside,"Kendal School Hall, 53 Kendal Avenue",1565565.437,5183783.651
18,Ilam,804,Burnside,"Roydvale School Hall, 117 Roydvale Avenue",1564679.756,5184178.484
18,Ilam,805,Fendalton,"Christchurch Boys' High School, Big Room, Te Kura Street ",1567725.71,5180986.759
18,Ilam,807,Fendalton,"Fairleigh Kindergarten, 27a Garden Road",1568528.386,5181460.605
18,Ilam,808,Fendalton,"Medbury School Hall, corner Clyde & Creyke Roads",1566794.059,5181145.671
18,Ilam,810,Fendalton,"St Barnabas Church Hall, corner Fendalton Road & Tui Street",1567441.803,5181415.588
18,Ilam,811,Ilam,"Ilam School Hall, 66 Ilam Road",1566035.365,5180639.838
18,Ilam,813,Ilam,"Westburn School Hall, 257 Waimairi Road",1565315.581,5182220.226
18,Ilam,815,Merivale,"Rangi Ruru Girls' School, Helen Kitson Function Centre, 59 Hewitts Road",1569110.161,5181488.612
18,Ilam,819,Papanui,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",1568204.438,5183859.687
18,Ilam,820,Papanui,"Waimairi School Hall, 1 Tillman Avenue",1568091.502,5183114.965
18,Ilam,822,Riccarton,"St Ninian's Presbyterian Church Hall, 9 Puriri Street",1566953.029,5180306.993
18,Ilam,826,Upper Riccarton,"Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",1565056.743,5180423.887
18,Ilam,2407,Bishopdale,"Breens Intermediate School Hall, 85 Breens Road",1565816.308,5184960.221
18,Ilam,2408,Bishopdale,"Cotswold School, 44 Cotswold Avenue",1566615.994,5185524.028
18,Ilam,2409,Bishopdale,"Isleworth School Hall, 59a Farrington Avenue",1566213.177,5184339.46
18,Ilam,2411,Bishopdale,"Bishopdale School Hall, 465 Greers Road",1567351.729,5185062.215
18,Ilam,2934,Avonhead,"St Mark's Presbyterian Church, 150 Withells Road",1563984.091,5181892.308
18,Ilam,2935,Bishopdale,"St Margaret's Church, The Hub, 94 Farrington Avenue",1566543.049,5184496.409
18,Ilam,2936,Harewood,"Harewood Playcentre, 719 Harewood Road",1564386.817,5185825.873
18,Ilam,2937,Merivale,"Heaton Normal Intermediate School Hall, 125-133 Heaton Street",1568981.18,5182496.225
18,Ilam,3716,Fendalton,"Fendalton Open Air School, The Village, 168 Clyde Road",1566953.976,5181792.432
18,Ilam,3943,Ilam,"Electorate Headquarters, Oak Drive (off Parkstone Avenue)",1565094.705,5181055.653
18,Ilam,3945,Christchurch City,"First Church of Christ Scientist, 66 Carlton Mill Road",1569596.981,5181242.721
19,Invercargill,309,Edendale,"Edendale School, 24 Salford Street",1275332.096,4862672.597
19,Invercargill,314,Glenham,"Glenham School, 22 Glenham School Road",1281014.348,4852969.763
19,Invercargill,322,Hedgehope,"Hedgehope School, 2250 Winton-Hedgehope Highway",1256114.849,4873233.79
19,Invercargill,330,Lochiel,"Lochiel School, corner Lochiel Bridge & Smith Roads",1240151.014,4872480.178
19,Invercargill,360,Ryal Bush,"Ryal Bush Community Centre, 55 Ryal Bush School Road",1240220.327,4865209.981
19,Invercargill,361,Seaward Downs,"Seaward Downs Public Hall, cnr Edendale- Seaward Downs Rd & Mataura Island Highway",1273444.959,4854472.557
19,Invercargill,368,Te Tipua,"Te Tipua School, State Highway 96",1273001.094,4876622.54
19,Invercargill,369,Thornbury,"Thornbury Primary School, 28 Muriel Street",1222265.038,4861928.094
19,Invercargill,370,Tokanui,"Tokanui School, 18 Duncan Street",1289347.431,4835392.626
19,Invercargill,373,Tuturau,"Tuturau Primary School, 285 Shanks Road",1280575.475,4869657.174
19,Invercargill,378,Waimahaka,"Waimahaka School, 1141 Mataura Island-Fortrose Road",1278782.138,4840213.132
19,Invercargill,389,Wyndham,"Wyndham Primary School, 40 Florence Street",1279984.787,4861584.44
19,Invercargill,827,Bluff,"Bluff Community School, 39 Bradshaw Street",1243452.541,4828485.546
19,Invercargill,828,Bluff,"St Teresa's School, 181 Foyle Street",1242714.09,4828707.007
19,Invercargill,830,Gorge Road,"Gorge Road School, 4 Factory Road",1269948.322,4844309.709
19,Invercargill,832,Grove Bush,"Grove Bush Hall, corner Grove Bush-Woodlands & Tussock Creek-Grove Bush Roads",1251782.243,4863460.386
19,Invercargill,833,Stewart Island,"Halfmoon Bay School, 6 Ayr Street",1228947.959,4794519.299
19,Invercargill,835,Invercargill,"Freedom Community Centre, 85 Adamson Crescent",1245012.844,4850831.454
19,Invercargill,840,Invercargill,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",1245233.009,4850878.005
19,Invercargill,842,Invercargill,"Gladstone Scout Hall, corner Holywood Terrace & Russell Street",1242497.816,4852124.416
19,Invercargill,844,Invercargill,"Ascot Community School Hall, 580 Tay Street",1245286.258,4850353.486
19,Invercargill,845,Invercargill,"James Hargest College Senior Campus, 288 Layard Street",1245030.897,4852151.107
19,Invercargill,846,Invercargill,"Kew Kindergarten, 51 Selwyn Street",1243074.406,4847767.317
19,Invercargill,849,Invercargill,"Knox Presbyterian Church Hall, 107 Pomona Street",1244167.978,4848548.76
19,Invercargill,850,Invercargill,"Lindisfarne Kindergarten, 34 Mitchell Street",1243958.601,4850363.513
19,Invercargill,851,Invercargill,"Invercargill Middle School Hall, 31 Jed Street",1243179.909,4849801.066
19,Invercargill,852,Invercargill,"Newfield Public Hall, 707 Tweed Street",1245884.665,4849172.403
19,Invercargill,854,Invercargill,"Windsor Community Church (Presbyterian), 19 Windsor Street",1243762.041,4851390.334
19,Invercargill,855,Invercargill,"Windsor North School Hall, corner Windsor & Chelmsford Streets",1243785.104,4851819.916
19,Invercargill,858,Invercargill,"Rosedale Gospel Chapel, 212 Bourke Street",1244491.901,4851408.992
19,Invercargill,860,Invercargill,"Salford School Hall, 110 Lamond Street",1244366.416,4852446.987
19,Invercargill,863,Invercargill,"St Andrew's Youth Centre, 141 Manse Street",1243610.774,4847460.159
19,Invercargill,865,Invercargill,"St John's Girls' School, 349 Dee Street",1242363.737,4851195.959
19,Invercargill,866,Invercargill,"St John's Parish Hall, 108 Tay Street",1242892.991,4849607.179
19,Invercargill,867,Invercargill,"St Joseph's School, 70 Eye Street",1242821.766,4849226.547
19,Invercargill,869,Invercargill,"Elles Road Bible Chapel, 198 Earn Street",1243651.484,4848485.512
19,Invercargill,873,Invercargill,"Waihopai School Hall, 121 Herbert Street",1242883.635,4851529.539
19,Invercargill,875,Invercargill,"Waverley Park School, 55 Eden Crescent",1245169.459,4851531.659
19,Invercargill,876,Kennington,"Kennington Public Hall, 21 Rimu Road",1250056.072,4852096.257
19,Invercargill,877,Makarewa,"Makarewa School, 56 Flora Road East",1241983.46,4858765.591
19,Invercargill,878,Mokotua,"Mokotua Public Hall, 12 Clearwater Road",1260298.112,4846149.63
19,Invercargill,883,Rimu,"Rimu School, 442 Rimu Road",1254202.837,4851674.018
19,Invercargill,884,Roslyn Bush,"Roslyn Bush Playcentre, corner Kennington- Roslyn Bush Road & Lorne-Dacre Highway",1250161.566,4858258.767
19,Invercargill,885,Tisbury,"Tisbury School, 3 Boundary Road",1246686.38,4846220.669
19,Invercargill,886,Waianiwa,"Waianiwa School, 244 Argyle Otahuti Road",1234368.442,4862058.369
19,Invercargill,888,Wallacetown,"Wallacetown School, 34 Mauchline Street",1237486.842,4858245.126
19,Invercargill,890,Woodend,"Woodend Public Hall, 3 Sommerville Street",1245879.152,4842868.782
19,Invercargill,891,Woodlands,"Woodlands Full Primary School, 8 Woodlands-Invercargill Highway",1258335.845,4856476.559
19,Invercargill,2910,Mokoreta,"Mokoreta-Redan Centennial Hall, 1725 Wyndham-Mokoreta Road",1293906.808,4854548.29
19,Invercargill,3094,Riverton,"Riverton Primary School Hall, 7 Leader Street",1216855.861,4854798.791
19,Invercargill,3275,Orepuki,"Orepuki and Districts Community Centre, 32 Oldham Street",1194657.691,4861086.656
19,Invercargill,3276,Waikawa,"Waikawa Public Hall, 23 Leamington Street",1304029.101,4829545.072
19,Invercargill,3293,Invercargill,"Donovan Primary School, 200 Drury Lane",1241711.077,4853353.198
19,Invercargill,3294,Invercargill,"New River School Hall, 117 Elizabeth Street",1243400.094,4847206.367
19,Invercargill,3295,Invercargill,"Holy Trinity Anglican Church Hall, 61 King Street",1243765.422,4851223.135
19,Invercargill,3296,Invercargill,"Aurora College, 234 Regent Street",1245383.436,4847687.469
19,Invercargill,3297,Invercargill,"Newfield Park School Hall, 82 Wilfrid Street",1245036.386,4848839.081
19,Invercargill,3298,Invercargill,"James Hargest College Junior Campus, 6 Layard Street",1243549.101,4852135.779
19,Invercargill,3299,Invercargill,"Fernworth School Hall, 288 Pomona Street",1244299.227,4847633.938
19,Invercargill,3300,Invercargill,"St Stephen's Church Hall, 290 North Road",1242178.188,4853566.504
19,Invercargill,3303,Invercargill,"Southland Girls' High School Hall, 328 Tweed Street",1243841.273,4849120.722
